happy,year,age,sex,marital,degree,finrela,health,wtssall
pretty happy,1986,20,female,never married,lt high school,below average,NA,1.5108
pretty happy,1986,32,female,widowed,high school,below average,NA,0.5036
pretty happy,1986,45,female,married,high school,above average,NA,1.5108
pretty happy,1986,22,female,married,high school,below average,NA,1.5108
very happy,1986,81,female,married,lt high school,above average,NA,1.0072
pretty happy,1986,56,female,widowed,lt high school,average,NA,0.5036
very happy,1986,29,female,never married,bachelor,below average,NA,0.5036
not too happy,1986,62,male,separated,high school,below average,NA,0.5036
pretty happy,1986,51,female,married,high school,average,NA,1.0072
not too happy,1986,40,male,divorced,high school,average,NA,2.0144
pretty happy,1986,61,female,never married,lt high school,average,NA,0.5036
pretty happy,1986,36,male,never married,high school,average,NA,0.5036
pretty happy,1986,33,male,divorced,junior college,average,NA,0.5036
very happy,1986,76,female,married,high school,below average,NA,1.0072
very happy,1986,67,female,widowed,lt high school,below average,NA,0.5036
not too happy,1986,34,female,separated,high school,far below average,NA,0.5036
very happy,1986,38,female,never married,high school,below average,NA,0.5036
not too happy,1986,NA,male,never married,NA,NA,NA,0.5036
pretty happy,1986,20,female,never married,lt high school,average,NA,0.5036
pretty happy,1986,45,male,never married,high school,average,NA,0.5036
not too happy,1986,22,female,never married,high school,below average,NA,0.5036
very happy,1986,20,female,never married,high school,below average,NA,0.5036
pretty happy,1986,22,female,never married,high school,average,NA,0.5036
pretty happy,1986,25,male,never married,high school,average,NA,0.5036
pretty happy,1986,82,female,married,lt high school,average,NA,1.0072
pretty happy,1986,29,male,married,high school,below average,NA,1.0072
pretty happy,1986,43,female,married,high school,average,NA,1.0072
pretty happy,1986,41,male,married,high school,average,NA,1.0072
very happy,1986,33,female,married,high school,above average,NA,1.0072
pretty happy,1986,28,female,married,high school,average,NA,1.0072
pretty happy,1986,72,male,married,high school,average,NA,1.0072
pretty happy,1986,33,female,married,high school,below average,NA,1.0072
pretty happy,1986,74,female,married,high school,average,NA,1.0072
not too happy,1986,45,male,never married,bachelor,above average,NA,0.5036
pretty happy,1986,25,female,never married,graduate,average,NA,1.0072
pretty happy,1986,25,male,never married,bachelor,average,NA,1.0072
NA,1986,28,male,never married,graduate,below average,NA,0.5036
pretty happy,1986,35,female,married,high school,average,NA,1.0072
pretty happy,1986,34,male,separated,high school,average,NA,0.5036
very happy,1986,23,male,never married,high school,average,NA,1.5108
not too happy,1986,30,female,married,high school,below average,NA,1.0072
pretty happy,1986,27,female,divorced,high school,average,NA,1.5108
pretty happy,1986,20,female,never married,high school,average,NA,0.5036
pretty happy,1986,31,female,never married,high school,below average,NA,0.5036
not too happy,1986,35,female,never married,lt high school,below average,NA,0.5036
pretty happy,1986,29,female,divorced,high school,below average,NA,0.5036
not too happy,1986,50,female,divorced,lt high school,below average,NA,0.5036
pretty happy,1986,62,male,married,bachelor,average,NA,1.0072
not too happy,1986,25,female,never married,high school,below average,NA,0.5036
very happy,1986,31,female,separated,lt high school,below average,NA,0.5036
pretty happy,1986,44,male,never married,graduate,below average,NA,0.5036
not too happy,1986,31,female,never married,high school,average,NA,1.5108
very happy,1986,20,male,never married,high school,average,NA,2.518
very happy,1986,60,female,married,high school,far below average,NA,2.0144
pretty happy,1986,67,female,widowed,high school,average,NA,0.5036
pretty happy,1986,38,male,married,high school,average,NA,1.0072
not too happy,1986,50,female,widowed,lt high school,far above average,NA,0.5036
pretty happy,1986,19,male,never married,high school,below average,NA,1.5108
pretty happy,1986,60,male,married,lt high school,below average,NA,2.0144
pretty happy,1986,23,female,never married,bachelor,below average,NA,1.0072
pretty happy,1986,31,male,never married,bachelor,average,NA,1.5108
pretty happy,1986,25,female,separated,high school,below average,NA,0.5036
not too happy,1986,27,female,never married,high school,below average,NA,1.0072
very happy,1986,35,male,married,high school,below average,NA,1.0072
not too happy,1986,56,female,married,high school,average,NA,1.0072
very happy,1986,41,male,married,high school,average,NA,1.0072
very happy,1986,36,female,married,bachelor,far above average,NA,1.0072
pretty happy,1986,59,female,married,high school,above average,NA,1.0072
pretty happy,1986,41,female,married,lt high school,average,NA,2.0144
pretty happy,1986,72,male,married,high school,below average,NA,1.0072
pretty happy,1986,68,female,never married,high school,above average,NA,0.5036
not too happy,1986,71,male,married,lt high school,below average,NA,1.5108
pretty happy,1986,32,male,separated,high school,average,NA,0.5036
pretty happy,1986,39,male,never married,bachelor,above average,NA,0.5036
pretty happy,1986,64,female,married,lt high school,below average,NA,1.0072
pretty happy,1986,36,male,married,junior college,average,NA,1.0072
not too happy,1986,64,female,widowed,high school,average,NA,0.5036
pretty happy,1986,66,male,married,lt high school,average,NA,1.5108
pretty happy,1986,67,female,divorced,high school,average,NA,1.0072
pretty happy,1986,45,female,divorced,lt high school,average,NA,1.0072
pretty happy,1986,56,male,never married,lt high school,below average,NA,1.0072
not too happy,1986,42,male,divorced,high school,average,NA,0.5036
pretty happy,1986,73,male,never married,junior college,above average,NA,1.0072
pretty happy,1986,74,female,married,high school,average,NA,1.0072
very happy,1986,27,female,married,bachelor,below average,NA,1.0072
pretty happy,1986,24,male,never married,lt high school,average,NA,1.0072
not too happy,1986,77,female,widowed,lt high school,average,NA,1.5108
very happy,1986,61,female,married,high school,average,NA,1.5108
very happy,1986,37,male,married,bachelor,above average,NA,1.0072
not too happy,1986,51,female,widowed,high school,average,NA,0.5036
very happy,1986,26,female,never married,bachelor,above average,NA,0.5036
pretty happy,1986,20,female,never married,high school,average,NA,2.0144
pretty happy,1986,29,male,married,high school,below average,NA,1.0072
not too happy,1986,25,male,never married,junior college,average,NA,1.0072
pretty happy,1986,71,female,married,lt high school,average,NA,1.0072
very happy,1986,78,female,widowed,lt high school,average,NA,0.5036
pretty happy,1986,20,female,never married,high school,average,NA,1.5108
pretty happy,1986,30,female,married,high school,average,NA,1.0072
pretty happy,1986,28,male,never married,high school,below average,NA,0.5036
very happy,1986,57,female,married,high school,average,NA,1.0072
pretty happy,1986,66,male,never married,lt high school,average,NA,0.5036
very happy,1986,32,female,married,high school,average,NA,1.0072
pretty happy,1986,49,female,married,lt high school,average,NA,2.0144
pretty happy,1986,50,male,never married,bachelor,below average,NA,0.5036
very happy,1986,23,female,never married,high school,average,NA,1.5108
pretty happy,1986,66,female,widowed,high school,average,NA,1.5108
very happy,1986,32,female,never married,bachelor,average,NA,0.5036
very happy,1986,48,female,widowed,graduate,average,NA,1.5108
pretty happy,1986,39,female,divorced,high school,average,NA,0.5036
pretty happy,1986,56,female,divorced,bachelor,far below average,NA,1.5108
pretty happy,1986,31,female,married,junior college,average,NA,1.0072
pretty happy,1986,55,male,married,high school,above average,NA,2.518
pretty happy,1986,84,female,widowed,lt high school,below average,NA,0.5036
not too happy,1986,40,male,married,junior college,average,NA,1.0072
pretty happy,1986,49,male,married,lt high school,average,NA,1.0072
very happy,1986,41,male,married,graduate,average,NA,1.0072
pretty happy,1986,62,female,never married,lt high school,average,NA,0.5036
pretty happy,1986,69,female,married,lt high school,average,NA,1.0072
pretty happy,1986,61,male,married,graduate,above average,NA,1.5108
not too happy,1986,59,female,widowed,lt high school,average,NA,0.5036
not too happy,1986,55,male,separated,lt high school,far below average,NA,0.5036
pretty happy,1986,49,female,never married,high school,below average,NA,1.0072
very happy,1986,36,male,married,high school,average,NA,1.0072
pretty happy,1986,58,male,married,lt high school,average,NA,1.5108
pretty happy,1986,72,female,married,high school,average,NA,1.0072
very happy,1986,22,female,never married,high school,above average,NA,1.0072
very happy,1986,54,female,widowed,lt high school,below average,NA,0.5036
very happy,1986,33,female,married,bachelor,above average,NA,1.0072
very happy,1986,60,female,divorced,graduate,above average,NA,0.5036
pretty happy,1986,43,female,married,bachelor,average,NA,1.0072
very happy,1986,79,female,widowed,lt high school,below average,NA,0.5036
pretty happy,1986,35,female,married,graduate,above average,NA,1.0072
pretty happy,1986,33,female,married,high school,average,NA,1.0072
very happy,1986,44,female,divorced,high school,above average,NA,0.5036
not too happy,1986,61,male,divorced,lt high school,below average,NA,0.5036
very happy,1986,31,male,divorced,high school,average,NA,2.0144
pretty happy,1986,37,female,married,high school,average,NA,1.0072
pretty happy,1986,28,male,married,high school,above average,NA,1.0072
very happy,1986,26,male,never married,high school,below average,NA,1.0072
not too happy,1986,59,female,widowed,high school,below average,NA,2.0144
pretty happy,1986,68,male,married,bachelor,above average,NA,1.5108
pretty happy,1986,25,male,never married,bachelor,far above average,NA,2.0144
very happy,1986,72,male,married,graduate,above average,NA,1.0072
pretty happy,1986,49,female,married,high school,average,NA,1.5108
pretty happy,1986,55,female,married,lt high school,above average,NA,1.5108
very happy,1986,38,female,married,high school,average,NA,1.0072
NA,1986,46,female,divorced,high school,above average,NA,1.5108
pretty happy,1986,31,male,married,high school,average,NA,1.0072
pretty happy,1986,70,male,married,high school,average,NA,1.0072
very happy,1986,61,male,married,high school,average,NA,1.0072
very happy,1986,24,male,married,high school,average,NA,1.0072
not too happy,1986,23,female,never married,high school,below average,NA,1.5108
very happy,1986,28,female,married,high school,above average,NA,1.0072
very happy,1986,55,male,married,high school,average,NA,2.0144
pretty happy,1986,43,female,married,high school,below average,NA,1.5108
very happy,1986,27,female,married,bachelor,average,NA,1.0072
pretty happy,1986,34,male,married,junior college,above average,NA,1.0072
pretty happy,1986,44,male,married,high school,above average,NA,1.5108
very happy,1986,34,female,married,high school,above average,NA,1.0072
very happy,1986,40,male,married,bachelor,above average,NA,1.0072
very happy,1986,44,female,married,high school,average,NA,1.5108
very happy,1986,68,male,married,high school,below average,NA,1.5108
very happy,1986,32,male,married,bachelor,average,NA,1.0072
NA,1986,35,female,divorced,bachelor,above average,NA,0.5036
very happy,1986,59,female,married,high school,above average,NA,2.0144
very happy,1986,39,female,married,bachelor,average,NA,1.0072
very happy,1986,37,male,married,lt high school,above average,NA,1.0072
very happy,1986,29,female,married,high school,average,NA,1.0072
very happy,1986,65,male,married,high school,average,NA,1.0072
very happy,1986,41,female,married,bachelor,average,NA,1.0072
pretty happy,1986,43,male,married,high school,average,NA,1.0072
very happy,1986,48,female,married,lt high school,below average,NA,1.5108
pretty happy,1986,30,female,married,junior college,average,NA,1.0072
very happy,1986,37,male,married,high school,average,NA,1.0072
very happy,1986,34,female,married,high school,average,NA,1.0072
pretty happy,1986,51,female,married,bachelor,average,NA,1.5108
very happy,1986,82,female,married,high school,above average,NA,1.0072
very happy,1986,43,female,married,high school,above average,NA,1.0072
pretty happy,1986,54,female,divorced,high school,below average,NA,0.5036
very happy,1986,76,female,married,high school,far above average,NA,1.0072
very happy,1986,57,male,married,lt high school,average,NA,1.0072
very happy,1986,23,female,married,high school,above average,NA,1.0072
very happy,1986,32,male,married,high school,average,NA,1.0072
very happy,1986,30,male,married,high school,average,NA,1.0072
pretty happy,1986,45,male,married,high school,average,NA,1.5108
pretty happy,1986,32,female,married,high school,average,NA,1.0072
pretty happy,1986,32,female,never married,lt high school,below average,NA,1.0072
pretty happy,1986,21,male,married,high school,average,NA,0.5036
not too happy,1986,44,female,divorced,high school,far below average,NA,0.5036
pretty happy,1986,30,female,never married,lt high school,below average,NA,0.5036
pretty happy,1986,56,female,widowed,lt high school,below average,NA,0.5036
pretty happy,1986,19,male,never married,high school,average,NA,2.518
not too happy,1986,64,male,married,lt high school,average,NA,2.0144
pretty happy,1986,33,female,married,bachelor,average,NA,1.0072
pretty happy,1986,28,female,married,high school,average,NA,1.0072
very happy,1986,30,female,divorced,high school,average,NA,1.5108
pretty happy,1986,39,male,married,high school,below average,NA,1.0072
very happy,1986,70,female,married,high school,average,NA,1.0072
pretty happy,1986,35,male,divorced,high school,average,NA,0.5036
pretty happy,1986,36,female,married,bachelor,below average,NA,1.0072
very happy,1986,65,female,married,high school,average,NA,1.0072
pretty happy,1986,60,female,married,high school,average,NA,1.0072
very happy,1986,60,male,married,high school,average,NA,1.0072
pretty happy,1986,34,female,divorced,junior college,below average,NA,1.0072
pretty happy,1986,51,male,divorced,graduate,above average,NA,0.5036
not too happy,1986,83,female,divorced,lt high school,below average,NA,0.5036
pretty happy,1986,76,female,widowed,high school,below average,NA,0.5036
pretty happy,1986,78,female,widowed,lt high school,average,NA,0.5036
very happy,1986,79,female,widowed,lt high school,average,NA,0.5036
very happy,1986,56,male,married,high school,above average,NA,1.0072
pretty happy,1986,37,female,married,bachelor,average,NA,1.0072
pretty happy,1986,26,female,never married,high school,average,NA,2.0144
pretty happy,1986,33,female,married,lt high school,average,NA,1.0072
very happy,1986,27,male,never married,bachelor,below average,NA,0.5036
pretty happy,1986,26,male,married,high school,average,NA,1.0072
very happy,1986,32,male,married,high school,average,NA,1.0072
very happy,1986,30,female,married,junior college,above average,NA,1.0072
pretty happy,1986,38,female,married,bachelor,above average,NA,1.5108
pretty happy,1986,29,female,married,bachelor,average,NA,1.0072
pretty happy,1986,78,female,widowed,high school,average,NA,0.5036
very happy,1986,55,female,married,high school,average,NA,1.0072
pretty happy,1986,NA,female,divorced,high school,below average,NA,0.5036
pretty happy,1986,68,male,married,lt high school,average,NA,1.0072
pretty happy,1986,38,male,divorced,high school,average,NA,0.5036
pretty happy,1986,80,female,widowed,high school,average,NA,0.5036
pretty happy,1986,24,male,married,lt high school,far below average,NA,1.0072
very happy,1986,22,male,married,high school,below average,NA,1.0072
not too happy,1986,51,female,widowed,high school,below average,NA,1.0072
very happy,1986,39,male,married,bachelor,average,NA,1.0072
pretty happy,1986,39,male,married,bachelor,above average,NA,1.0072
pretty happy,1986,29,male,married,graduate,above average,NA,1.0072
very happy,1986,51,female,married,high school,average,NA,1.0072
pretty happy,1986,56,female,divorced,high school,average,NA,0.5036
pretty happy,1986,33,male,married,high school,below average,NA,1.0072
very happy,1986,79,male,married,high school,above average,NA,1.0072
pretty happy,1986,40,male,married,high school,average,NA,1.0072
pretty happy,1986,42,male,married,bachelor,above average,NA,1.0072
pretty happy,1986,31,male,never married,high school,below average,NA,0.5036
pretty happy,1986,28,male,never married,bachelor,average,NA,1.0072
pretty happy,1986,37,female,married,graduate,average,NA,1.0072
very happy,1986,66,male,married,high school,below average,NA,1.0072
pretty happy,1986,39,male,married,bachelor,average,NA,1.0072
pretty happy,1986,34,female,never married,high school,below average,NA,0.5036
pretty happy,1986,32,male,married,high school,average,NA,1.0072
pretty happy,1986,49,male,married,high school,average,NA,1.0072
pretty happy,1986,81,female,widowed,high school,average,NA,0.5036
pretty happy,1986,37,female,married,high school,average,NA,1.0072
very happy,1986,54,female,married,high school,above average,NA,1.0072
pretty happy,1986,38,female,separated,high school,below average,NA,0.5036
not too happy,1986,36,male,married,high school,below average,NA,1.0072
pretty happy,1986,46,female,married,high school,average,NA,1.0072
pretty happy,1986,27,female,never married,high school,average,NA,1.0072
not too happy,1986,50,female,divorced,lt high school,below average,NA,0.5036
pretty happy,1986,31,male,never married,high school,average,NA,1.5108
pretty happy,1986,22,male,never married,lt high school,average,NA,1.0072
very happy,1986,61,female,married,lt high school,average,NA,1.0072
pretty happy,1986,20,female,divorced,lt high school,far below average,NA,1.0072
not too happy,1986,25,female,separated,lt high school,average,NA,1.0072
pretty happy,1986,19,male,never married,lt high school,average,NA,1.0072
not too happy,1986,29,female,divorced,high school,average,NA,0.5036
pretty happy,1986,26,female,married,lt high school,average,NA,1.0072
pretty happy,1986,58,male,married,high school,above average,NA,1.0072
pretty happy,1986,41,male,married,graduate,average,NA,1.5108
pretty happy,1986,37,male,married,bachelor,above average,NA,1.0072
very happy,1986,41,male,divorced,high school,average,NA,1.0072
pretty happy,1986,23,female,never married,high school,average,NA,0.5036
not too happy,1986,25,female,divorced,high school,far below average,NA,0.5036
pretty happy,1986,23,female,never married,high school,above average,NA,2.0144
very happy,1986,31,female,married,lt high school,average,NA,1.0072
pretty happy,1986,27,male,married,high school,below average,NA,1.0072
pretty happy,1986,25,male,married,high school,below average,NA,1.0072
very happy,1986,85,female,widowed,lt high school,below average,NA,0.5036
very happy,1986,31,male,married,high school,above average,NA,1.5108
pretty happy,1986,48,female,married,high school,below average,NA,2.0144
pretty happy,1986,30,female,married,high school,above average,NA,1.0072
pretty happy,1986,29,male,married,high school,average,NA,1.0072
not too happy,1986,83,male,widowed,lt high school,average,NA,0.5036
pretty happy,1986,81,female,divorced,lt high school,NA,NA,0.5036
very happy,1986,69,female,widowed,lt high school,average,NA,0.5036
NA,1986,24,male,never married,bachelor,above average,NA,2.0144
pretty happy,1986,30,female,divorced,high school,average,NA,1.0072
very happy,1986,32,male,married,high school,average,NA,1.0072
pretty happy,1986,80,female,widowed,high school,above average,NA,0.5036
pretty happy,1986,24,male,married,junior college,above average,NA,1.0072
pretty happy,1986,37,male,married,high school,average,NA,1.0072
pretty happy,1986,56,male,never married,high school,below average,NA,1.0072
pretty happy,1986,30,female,married,high school,below average,NA,1.0072
pretty happy,1986,21,female,never married,high school,average,NA,1.5108
pretty happy,1986,38,female,widowed,high school,below average,NA,0.5036
pretty happy,1986,56,female,married,lt high school,average,NA,1.5108
pretty happy,1986,61,female,married,high school,average,NA,1.0072
pretty happy,1986,43,female,married,high school,average,NA,1.0072
pretty happy,1986,46,male,married,high school,average,NA,1.0072
pretty happy,1986,63,female,married,high school,below average,NA,1.0072
not too happy,1986,43,female,divorced,high school,average,NA,0.5036
very happy,1986,41,female,married,high school,average,NA,1.5108
pretty happy,1986,27,female,never married,high school,below average,NA,1.0072
very happy,1986,24,male,never married,high school,far below average,NA,1.0072
very happy,1986,51,female,married,high school,average,NA,1.0072
very happy,1986,25,female,married,high school,far below average,NA,1.0072
pretty happy,1986,21,male,married,lt high school,far below average,NA,0.5036
pretty happy,1986,48,female,married,high school,average,NA,1.5108
very happy,1986,28,female,married,high school,average,NA,1.0072
pretty happy,1986,44,male,married,lt high school,average,NA,1.0072
very happy,1986,55,female,married,lt high school,average,NA,1.0072
very happy,1986,23,female,never married,high school,average,NA,1.5108
pretty happy,1986,40,female,married,high school,average,NA,1.0072
pretty happy,1986,41,male,married,junior college,average,NA,1.0072
not too happy,1986,28,female,divorced,high school,average,NA,0.5036
pretty happy,1986,33,female,married,high school,average,NA,1.0072
very happy,1986,27,female,married,high school,average,NA,1.0072
very happy,1986,63,female,married,lt high school,below average,NA,1.0072
pretty happy,1986,36,female,divorced,high school,average,NA,0.5036
pretty happy,1986,22,female,never married,high school,average,NA,1.0072
very happy,1986,41,female,married,high school,above average,NA,1.0072
very happy,1986,50,female,married,high school,below average,NA,1.0072
NA,1986,68,female,married,graduate,average,NA,1.0072
pretty happy,1986,42,female,married,high school,average,NA,1.0072
pretty happy,1986,25,male,never married,lt high school,average,NA,1.5108
not too happy,1986,60,male,married,lt high school,average,NA,1.0072
very happy,1986,31,male,never married,graduate,above average,NA,0.5036
very happy,1986,21,male,never married,high school,average,NA,1.0072
pretty happy,1986,66,female,widowed,high school,average,NA,0.5036
pretty happy,1986,30,female,never married,bachelor,average,NA,1.0072
not too happy,1986,77,female,widowed,high school,average,NA,0.5036
pretty happy,1986,67,female,never married,bachelor,below average,NA,0.5036
very happy,1986,85,male,married,lt high school,average,NA,1.0072
pretty happy,1986,34,female,married,bachelor,below average,NA,1.0072
not too happy,1986,30,female,married,bachelor,far below average,NA,1.0072
very happy,1986,26,male,never married,high school,below average,NA,1.0072
not too happy,1986,32,female,never married,high school,below average,NA,0.5036
not too happy,1986,60,female,widowed,lt high school,below average,NA,0.5036
very happy,1986,64,female,married,bachelor,below average,NA,1.0072
very happy,1986,28,male,married,lt high school,average,NA,1.0072
pretty happy,1986,28,male,married,high school,below average,NA,1.0072
pretty happy,1986,29,male,married,bachelor,above average,NA,1.0072
pretty happy,1986,28,male,married,high school,far below average,NA,1.0072
pretty happy,1986,49,male,divorced,bachelor,far below average,NA,0.5036
very happy,1986,34,female,never married,graduate,average,NA,0.5036
pretty happy,1986,29,male,never married,bachelor,above average,NA,0.5036
pretty happy,1986,24,female,never married,bachelor,above average,NA,0.5036
pretty happy,1986,32,female,divorced,graduate,above average,NA,0.5036
pretty happy,1986,77,female,widowed,lt high school,below average,NA,0.5036
very happy,1986,26,male,married,bachelor,average,NA,1.0072
very happy,1986,67,female,divorced,high school,average,NA,0.5036
pretty happy,1986,32,female,married,high school,average,NA,1.0072
pretty happy,1986,19,female,married,lt high school,below average,NA,1.5108
very happy,1986,56,female,married,lt high school,above average,NA,1.0072
pretty happy,1986,24,male,married,high school,below average,NA,1.0072
very happy,1986,68,male,married,high school,above average,NA,1.0072
very happy,1986,39,female,married,bachelor,above average,NA,1.0072
very happy,1986,68,female,widowed,high school,average,NA,0.5036
very happy,1986,42,female,married,high school,above average,NA,1.0072
very happy,1986,30,female,married,bachelor,average,NA,1.0072
very happy,1986,84,male,married,graduate,above average,NA,1.0072
pretty happy,1986,70,male,widowed,high school,average,NA,0.5036
not too happy,1986,54,female,married,high school,average,NA,1.5108
very happy,1986,26,female,separated,high school,below average,NA,0.5036
pretty happy,1986,22,female,married,high school,below average,NA,1.0072
pretty happy,1986,27,female,never married,high school,average,NA,0.5036
not too happy,1986,67,female,widowed,lt high school,below average,NA,0.5036
pretty happy,1986,71,female,widowed,lt high school,below average,NA,0.5036
not too happy,1986,59,female,separated,lt high school,below average,NA,0.5036
pretty happy,1986,34,male,married,bachelor,average,NA,1.0072
not too happy,1986,28,female,never married,high school,far below average,NA,0.5036
pretty happy,1986,35,female,married,lt high school,below average,NA,1.0072
pretty happy,1986,57,male,married,lt high school,average,NA,1.0072
pretty happy,1986,73,female,married,lt high school,far below average,NA,1.0072
not too happy,1986,76,male,never married,lt high school,below average,NA,0.5036
pretty happy,1986,66,female,widowed,lt high school,average,NA,0.5036
not too happy,1986,72,female,widowed,lt high school,far below average,NA,0.5036
pretty happy,1986,52,female,married,high school,far above average,NA,1.0072
pretty happy,1986,22,female,never married,bachelor,average,NA,2.0144
not too happy,1986,56,male,married,high school,below average,NA,1.5108
very happy,1986,38,male,married,high school,average,NA,1.0072
not too happy,1986,70,female,divorced,lt high school,average,NA,1.0072
not too happy,1986,26,female,separated,lt high school,below average,NA,1.0072
very happy,1986,32,male,married,bachelor,average,NA,1.0072
pretty happy,1986,31,female,married,high school,average,NA,2.0144
very happy,1986,74,male,widowed,high school,average,NA,2.518
pretty happy,1986,19,female,never married,high school,below average,NA,1.0072
pretty happy,1986,54,female,married,high school,below average,NA,1.5108
pretty happy,1986,66,male,married,graduate,average,NA,1.5108
very happy,1986,50,female,married,lt high school,average,NA,2.0144
pretty happy,1986,20,female,never married,lt high school,average,NA,1.5108
very happy,1986,65,female,married,high school,below average,NA,1.0072
very happy,1986,57,male,married,lt high school,average,NA,1.0072
pretty happy,1986,64,female,married,lt high school,average,NA,1.0072
pretty happy,1986,46,male,divorced,high school,below average,NA,0.5036
pretty happy,1986,51,female,married,high school,NA,NA,1.5108
pretty happy,1986,79,female,widowed,lt high school,far below average,NA,1.0072
pretty happy,1986,62,male,married,lt high school,below average,NA,1.5108
very happy,1986,49,female,separated,lt high school,average,NA,0.5036
pretty happy,1986,26,female,married,lt high school,below average,NA,1.0072
pretty happy,1986,23,male,never married,high school,below average,NA,1.5108
very happy,1986,30,male,married,lt high school,below average,NA,1.0072
pretty happy,1986,44,female,never married,high school,average,NA,1.0072
very happy,1986,53,female,married,high school,above average,NA,1.0072
pretty happy,1986,34,female,never married,graduate,above average,NA,1.0072
pretty happy,1986,41,female,divorced,high school,below average,NA,1.0072
pretty happy,1986,33,female,married,high school,average,NA,1.0072
pretty happy,1986,51,female,married,lt high school,average,NA,2.0144
pretty happy,1986,47,female,married,bachelor,above average,NA,2.0144
pretty happy,1986,26,male,married,lt high school,average,NA,1.0072
pretty happy,1986,32,female,married,high school,average,NA,1.0072
pretty happy,1986,21,male,never married,high school,below average,NA,1.0072
pretty happy,1986,32,male,married,high school,average,NA,1.0072
very happy,1986,38,female,married,bachelor,average,NA,1.0072
pretty happy,1986,72,male,married,lt high school,average,NA,1.0072
very happy,1986,45,female,divorced,high school,below average,NA,1.0072
pretty happy,1986,34,male,married,lt high school,below average,NA,1.0072
very happy,1986,82,female,widowed,high school,below average,NA,1.0072
pretty happy,1986,76,male,separated,bachelor,average,NA,0.5036
pretty happy,1986,62,female,married,high school,far below average,NA,1.0072
very happy,1986,73,male,married,lt high school,average,NA,1.0072
very happy,1986,65,female,married,high school,average,NA,1.0072
not too happy,1986,71,female,married,lt high school,above average,NA,1.0072
very happy,1986,50,male,married,high school,average,NA,1.0072
very happy,1986,67,female,widowed,high school,average,NA,1.0072
very happy,1986,34,male,married,high school,far above average,NA,1.0072
pretty happy,1986,41,female,divorced,high school,below average,NA,0.5036
very happy,1986,71,male,divorced,high school,average,NA,0.5036
pretty happy,1986,29,female,divorced,high school,average,NA,0.5036
very happy,1986,49,female,married,bachelor,average,NA,1.0072
not too happy,1986,41,female,divorced,high school,far above average,NA,1.0072
pretty happy,1986,81,female,divorced,lt high school,below average,NA,0.5036
pretty happy,1986,60,female,divorced,lt high school,average,NA,2.518
pretty happy,1986,57,female,widowed,lt high school,average,NA,1.0072
pretty happy,1986,25,male,never married,high school,average,NA,1.5108
pretty happy,1986,38,male,married,bachelor,average,NA,1.0072
very happy,1986,21,female,never married,high school,average,NA,0.5036
pretty happy,1986,55,female,widowed,high school,above average,NA,0.5036
not too happy,1986,23,female,married,high school,below average,NA,1.0072
pretty happy,1986,50,male,divorced,junior college,below average,NA,0.5036
pretty happy,1986,68,female,married,lt high school,below average,NA,1.0072
not too happy,1986,32,female,married,high school,above average,NA,1.0072
pretty happy,1986,46,male,separated,high school,average,NA,0.5036
pretty happy,1986,31,male,divorced,lt high school,average,NA,1.0072
very happy,1986,72,female,married,bachelor,below average,NA,1.0072
pretty happy,1986,80,female,widowed,lt high school,average,NA,0.5036
not too happy,1986,77,female,divorced,lt high school,average,NA,0.5036
very happy,1986,87,female,widowed,lt high school,NA,NA,0.5036
very happy,1986,46,female,married,lt high school,above average,NA,1.0072
very happy,1986,35,male,married,lt high school,average,NA,1.0072
pretty happy,1986,39,female,never married,graduate,below average,NA,1.0072
pretty happy,1986,70,male,married,high school,below average,NA,1.0072
very happy,1986,25,female,married,high school,average,NA,1.0072
pretty happy,1986,29,male,married,high school,average,NA,1.0072
pretty happy,1986,21,female,never married,high school,below average,NA,0.5036
pretty happy,1986,80,female,widowed,lt high school,below average,NA,0.5036
very happy,1986,62,male,married,lt high school,average,NA,1.0072
pretty happy,1986,68,female,married,lt high school,below average,NA,0.5036
pretty happy,1986,69,female,married,lt high school,average,NA,1.0072
very happy,1986,70,male,married,high school,above average,NA,1.0072
pretty happy,1986,60,female,widowed,high school,far above average,NA,0.5036
very happy,1986,55,male,married,high school,average,NA,1.0072
very happy,1986,57,female,married,high school,above average,NA,1.0072
pretty happy,1986,62,female,married,high school,below average,NA,1.0072
pretty happy,1986,55,male,married,high school,average,NA,1.0072
pretty happy,1986,50,female,married,high school,below average,NA,1.0072
pretty happy,1986,39,female,married,high school,average,NA,3.0216
pretty happy,1986,19,female,never married,lt high school,average,NA,1.5108
pretty happy,1986,57,male,married,bachelor,below average,NA,1.0072
very happy,1986,79,male,widowed,high school,below average,NA,0.5036
very happy,1986,38,male,married,high school,average,NA,1.0072
pretty happy,1986,59,female,divorced,high school,below average,NA,2.0144
pretty happy,1986,33,female,married,lt high school,below average,NA,1.0072
pretty happy,1986,37,female,never married,high school,below average,NA,0.5036
very happy,1986,63,female,married,lt high school,average,NA,1.0072
pretty happy,1986,26,male,married,high school,average,NA,1.0072
very happy,1986,38,female,married,graduate,above average,NA,1.0072
pretty happy,1986,38,female,divorced,high school,below average,NA,1.0072
pretty happy,1986,49,female,separated,lt high school,average,NA,0.5036
pretty happy,1986,45,male,married,lt high school,average,NA,1.0072
pretty happy,1986,37,female,married,bachelor,below average,NA,1.0072
pretty happy,1986,35,female,married,high school,average,NA,1.0072
very happy,1986,65,female,married,lt high school,average,NA,1.0072
